title,author,first_publish_year,edition_count
Pollyanna,"Eleanor Hodgman Porter, Porter, Neil Reed, Lee Giles",1912,552
Middlemarch,George Eliot,1871,199
Orlando,Virginia Woolf,1928,452
Heidi,"Spyri, Johanna",1885,180
The Enchanted Castle,Edith Nesbit,1907,478
White Fang,Jack London,1905,387
Babbitt,Sinclair Lewis,1922,451
The Secret Garden,Frances Hodgson Burnett,1911,1594
Ethan Frome,Edith Wharton,1910,1000
Treasure Island,Robert Louis Stevenson,1880,1985
Herland,Charlotte Perkins Gilman,1915,356
The Waves,Virginia Woolf,1931,255
Ivanhoe,Sir Walter Scott,1800,480
The Sea Fairies,L. Frank Baum,1911,528
"Villette, a novel",Charlotte BronteÌˆ,1853,518
The Magic World,Edith Nesbit,1959,352
Hard Times,Charles Dickens,1854,1028
The Scarlet Letter,Nathaniel Hawthorne,1850,658
The Jungle,Upton Sinclair,1707,673
Just So Stories,Rudyard Kipling,1922,245
